Variable ID,Alias Name,Category,Data Collection,Field Category,Long Description,Year
"EDUC06_CY","2023 Pop 3+/Edu: Non-Tertiary","Education","EducationalAttainment","2023 Educational Attainment (MBR)","2023 Population Age 3+ by Education: Non-Tertiary","2023"
"EDUC07_CY","2023 Pop 3+/Edu: Teacher Training","Education","EducationalAttainment","2023 Educational Attainment (MBR)","2023 Population Age 3+ by Education: Teacher Training","2023"
"EDUC08_CY","2023 Pop 3+/Edu: Tertiary (Diploma)","Education","EducationalAttainment","2023 Educational Attainment (MBR)","2023 Population Age 3+ by Education: Tertiary (Diploma)","2023"
"EDUC09_CY","2023 Pop 3+/Edu: Bachelors","Education","EducationalAttainment","2023 Educational Attainment (MBR)","2023 Population Age 3+ by Education: Bachelors","2023"
"EDUC010_CY","2023 Pop 3+/Edu: Postgraduate","Education","EducationalAttainment","2023 Educational Attainment (MBR)","2023 Population Age 3+ by Education: Postgraduate","2023"
"EDUC_BASE","2023 Education Attainment Base","Education","EducationalAttainment","2023 Educational Attainment (MBR)","2023 Education Attainment Base","2023"
"PP_CY","2023 Purchasing Power: Total","Income","PurchasingPower","2023 Purchasing Power (MBR)","2023 Purchasing Power: Total","2023"
"PPPRM_CY","2023 Purchasing Power: Per Mill","Income","PurchasingPower","2023 Purchasing Power (MBR)","2023 Purchasing Power: Per Mill","2023"
"PPPC_CY","2023 Purchasing Power: Per Capita","Income","PurchasingPower","2023 Purchasing Power (MBR)","2023 Purchasing Power: Per Capita","2023"
"PPIDX_CY","2023 Purchasing Power: Index","Income","PurchasingPower","2023 Purchasing Power (MBR)","2023 Purchasing Power: Index","2023"
"AREA","Area","Key Facts","KeyFacts","Area","Area","2023"
